"","contrast","estimate","SE","df","t.ratio","p.value"
"1","control Eutrophic - PHE Eutrophic",4.60927140625,1.24832966804105,70,3.69235108661891,0.00982190045137055
"2","control Eutrophic - control Pesticide",1.1967435444079,0.75770737028779,70,1.57942708667774,0.760734163657918
"3","control Eutrophic - PHE Pesticide",5.48674078125,1.40494868808124,70,3.90529620604388,0.0050175585397354
"4","control Eutrophic - control Recovery",-2.59652318933823,0.777815868757085,70,-3.33822347117622,0.0279358020466698
"5","control Eutrophic - PHE Recovery",3.12865578125,1.67480999764172,70,1.86806610042657,0.576905567760216
"6","control Eutrophic - (control Semi-Pristine)",-1.59944046875,0.817223599436745,70,-1.95716382866621,0.517554398262111
"7","control Eutrophic - (PHE Semi-Pristine)",1.46966078125,1.40494868808124,70,1.04606011146011,0.965400850103176
"8","PHE Eutrophic - control Pesticide",-3.4125278618421,1.22846108406222,70,-2.77788845419319,0.117431836559302
"9","PHE Eutrophic - PHE Pesticide",0.877469375000004,1.70554301974711,70,0.514480939407855,0.999550376384375
"10","PHE Eutrophic - control Recovery",-7.20579459558822,1.24096482696216,70,-5.8066066330242,4.64436736802298e-06
"11","PHE Eutrophic - PHE Recovery",-1.48061562499999,1.93390400595985,70,-0.765609678886374,0.994327812347683
"12","PHE Eutrophic - (control Semi-Pristine)",-6.208711875,1.26603735629848,70,-4.90405108831263,0.000153105264940834
"13","PHE Eutrophic - (PHE Semi-Pristine)",-3.139610625,1.70554301974711,70,-1.8408275772871,0.595071343570463
"14","control Pesticide - PHE Pesticide",4.2899972368421,1.38732494069885,70,3.09228004989305,0.0543868550000172
"15","control Pesticide - control Recovery",-3.79326673374613,0.745511368547917,70,-5.08814069614328,7.66553475447518e-05
"16","control Pesticide - PHE Recovery",1.93191223684211,1.66005367477817,70,1.16376492290243,0.939401928174347
"17","control Pesticide - (control Semi-Pristine)",-2.7961840131579,0.786539310155695,70,-3.55504674344172,0.0148963355576119
"18","control Pesticide - (PHE Semi-Pristine)",0.2729172368421,1.38732494069885,70,0.196721927816436,0.999999357561768
"19","PHE Pesticide - control Recovery",-8.08326397058823,1.39840893796734,70,-5.78032916632931,5.15858427085902e-06
"20","PHE Pesticide - PHE Recovery",-2.358085,2.03851381165232,70,-1.15676675160157,0.941236420532332
"21","PHE Pesticide - (control Semi-Pristine)",-7.08618125,1.42070561467637,70,-4.98778999449101,0.000111942505422569
"22","PHE Pesticide - (PHE Semi-Pristine)",-4.01708,1.82330218237072,70,-2.20318937740581,0.362602072243101
"23","control Recovery - PHE Recovery",5.72517897058823,1.66932778981433,70,3.42963137948179,0.0215272312016627
"24","control Recovery - (control Semi-Pristine)",0.997082720588229,0.805928751889456,70,1.23718469933058,0.917812682970761
"25","control Recovery - (PHE Semi-Pristine)",4.06618397058823,1.39840893796734,70,2.90772166866912,0.0864741461070072
"26","PHE Recovery - (control Semi-Pristine)",-4.72809625,1.68804980839797,70,-2.80092223966256,0.111367799937114
"27","PHE Recovery - (PHE Semi-Pristine)",-1.65899500000001,2.03851381165232,70,-0.813825734472363,0.991788738634857
"28","(control Semi-Pristine) - (PHE Semi-Pristine)",3.06910125,1.42070561467637,70,2.16026544718001,0.388075972377467
